blindfold=eye blanket
fridge=cool cupboard
glove=hand shoe
season=year time
umbrella=rain shield
bat=flutter mouse
lightbulb=glow pear
slug=naked snail
tortoise=shield toad
porcupine=spike pig
vacuum=dust sucker
squid=ink fish
queue=wait snake
gum=tooth meat
menu=dish card
kettle=water cooker
rhino=nose horn
hippo=river horse
diary=day book
kangaroo=rat pocket
toe=foot finger
nipple=breast wart
stapler=paper vampire
computer=electric brain
echo=rock language
candyfloss=ghost breath
jeans=cowboy pants
mermaid=foam girl
tie=larynx loincloth
bagpipes=yodel sack
graffiti=building tattoo
bubble=bath fluff
icecube=water bone
highlighter=text emphasiser
